n;question
1;O que é o Sistema Solar?
2;Como surgiu o Sistema Solar?
3;Quais são os planetas do Sistema Solar?
3;Existem quantos planetas no Sistema Solar?
4;Existem vidas em outros planetas do Sistema solar?
5;Qual o seu nome?
6;Qual o maior planeta do Sistema Solar?
7;Como o Sistema Solar irá acabar?
8;Qual o tamanho do Sol?
9;Quais são os seus interesses?
9;O que você sabe?
99;Quem é seu criador?
2;Quem criou o Sistema Solar?
99;Quem criou o universo?
10;Como surgiram os anéis de Saturno?
11;Existe vida em Marte?
12;Como surgiu a vida na Terra?
